match_id,season,date,team1,team2,venue,toss_winner,toss_decision,team1_runs,team2_runs,team1_wickets,team2_wickets,form_team1,form_team2,team1_win
241,2011,2011-04-12,Delhi Daredevils,Rajasthan Royals,Sawai Mansingh Stadium,Delhi Daredevils,bat,151,152,6,4,0.3333333333333333,0.3333333333333333,0
242,2011,2011-04-12,Royal Challengers Bangalore,Mumbai Indians,M Chinnaswamy Stadium,Mumbai Indians,field,140,143,4,1,0.6666666666666666,0.6666666666666666,0
243,2011,2011-04-13,Chennai Super Kings,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,field,188,193,4,4,1.0,0.0,0
244,2011,2011-04-13,Kochi Tuskers Kerala,Pune Warriors,Dr DY Patil Sports Academy,Kochi Tuskers Kerala,bat,148,151,8,6,0.0,1.0,0
245,2011,2011-04-14,Deccan Chargers,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",Royal Challengers Bangalore,field,175,142,5,9,0.0,0.6666666666666666,1
246,2011,2011-04-15,Rajasthan Royals,Kolkata Knight Riders,Sawai Mansingh Stadium,Kolkata Knight Riders,field,159,160,4,1,0.6666666666666666,0.6666666666666666,0
247,2011,2011-04-15,Mumbai Indians,Kochi Tuskers Kerala,Wankhede Stadium,Kochi Tuskers Kerala,field,182,184,2,2,0.6666666666666666,0.0,0
248,2011,2011-04-16,Chennai Super Kings,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,bat,183,162,5,7,0.6666666666666666,0.3333333333333333,1
249,2011,2011-04-16,Deccan Chargers,Kings XI Punjab,"Rajiv Gandhi International Stadium, Uppal",Kings XI Punjab,field,165,166,8,2,0.3333333333333333,0.3333333333333333,0
250,2011,2011-04-17,Pune Warriors,Delhi Daredevils,Dr DY Patil Sports Academy,Delhi Daredevils,field,187,190,5,7,1.0,0.0,0
251,2011,2011-04-17,Rajasthan Royals,Kolkata Knight Riders,Eden Gardens,Kolkata Knight Riders,field,81,85,10,2,0.6666666666666666,0.6666666666666666,0
252,2011,2011-04-18,Chennai Super Kings,Kochi Tuskers Kerala,Nehru Stadium,Kochi Tuskers Kerala,field,131,135,4,3,0.6666666666666666,0.3333333333333333,0
253,2011,2011-04-19,Deccan Chargers,Delhi Daredevils,Feroz Shah Kotla,Deccan Chargers,bat,168,152,4,7,0.3333333333333333,0.3333333333333333,1
254,2011,2011-04-20,Pune Warriors,Mumbai Indians,Wankhede Stadium,Pune Warriors,bat,118,124,10,3,0.6666666666666666,0.6666666666666666,0
255,2011,2011-04-20,Kochi Tuskers Kerala,Kolkata Knight Riders,Eden Gardens,Kolkata Knight Riders,field,132,126,7,9,0.6666666666666666,1.0,1
256,2011,2011-04-21,Kings XI Punjab,Rajasthan Royals,"Punjab Cricket Association Stadium, Mohali",Rajasthan Royals,field,195,147,7,7,0.6666666666666666,0.3333333333333333,1
